tconst	titleType	title	year	endYear	isAdult	runtime	genres	rating	numVotes	description	cast	streaming_platforms	url	scrape_status
tt0120201	movie	Starship Troopers	1997.0	\N	0.0	129	Action,Adventure,Sci-Fi	7.3	339438.0	"Set in the future, the story follows a young soldier named Johnny Rico and his exploits in the Mobile Infantry. Rico's military career progresses from recruit to non-commissioned officer and finally to officer against the backdrop of an interstellar war between mankind and an arachnoid species known as ""the Bugs."""			https://www.streamwithvpn.com/starship-troopers-1997	success
tt1828327	tvSeries	Last Man Standing	2011.0	2021	0.0	30	Comedy	7.5	39636.0	A married father of three tries to maintain his manliness in a world increasingly dominated by women.			https://www.streamwithvpn.com/last-man-standing-2011	success
tt0065988	movie	Little Big Man	1970.0	\N	0.0	139	Adventure,Drama,Western	7.5	39598.0	Jack Crabb, looking back from extreme old age, tells of his life being raised by Indians and fighting with General Custer.			https://www.streamwithvpn.com/little-big-man-1970	success
tt0108211	movie	Stalingrad	1993.0	\N	0.0	134	Drama,War	7.5	39571.0	A German Platoon is explored through the brutal fighting of the Battle of Stalingrad. After half of their number is wiped out and they're placed under the command of a sadistic captain, the platoon lieutenant leads his men to desert. The platoon members attempt escape from the city, now surrounded by the Soviet Army.			https://www.streamwithvpn.com/stalingrad-1993	success
tt3065204	movie	The Conjuring 2	2016.0	\N	0.0	134	Horror,Mystery,Thriller	7.3	330469.0	Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.			https://www.streamwithvpn.com/the-conjuring-2-2016	success
tt0068699	movie	High Plains Drifter	1973.0	\N	0.0	105	Drama,Mystery,Western	7.4	70581.0	A gunfighting stranger comes to the small settlement of Lago. After gunning down three gunmen who tried to kill him, the townsfolk decide to hire the Stranger to hold off three outlaws who are on their way.			https://www.streamwithvpn.com/high-plains-drifter-1973	success
tt1166100	movie	Ghajini	2008.0	\N	0.0	186	Action,Mystery,Thriller	7.4	70552.0	A man suffering from anterograde amnesia as a result of a violent attack in the past sets out to avenge his girlfriend's death with the aid of photographs, notes and tattoos all over his body.			https://www.streamwithvpn.com/ghajini-2008	success
tt21621494	tvSeries	Delicious in Dungeon	2024.0	\N	0.0	26	Adventure,Animation,Comedy	8.0	12341.0	Dungeons, dragons... and delicious monster stew!? Adventurers foray into a cursed buried kingdom to save their friend, cooking up a storm along the way.			https://www.streamwithvpn.com/delicious-in-dungeon-2024	success
tt9243946		El Camino											https://www.streamwithvpn.com/el-camino-2019	request_error: 404 Client Error: Not Found for url: https://www.streamwithvpn.com/el-camino
tt0111579	movie	Burnt by the Sun	1994.0	\N	0.0	135	Drama,War	7.8	16984.0	Russia, 1936: revolutionary hero Colonel Kotov is spending an idyllic summer in his dacha with his young wife and six-year-old daughter Nadia and other assorted family and friends. Things change dramatically with the unheralded arrival of Cousin Dmitri from Moscow, who charms the women and little Nadia with his games and pianistic bravura. But Kotov isn't fooled: this is the time of Stalin's repression, with telephone calls in the middle of the night spelling doom - and he knows that Dmitri isn't paying a social call...			https://www.streamwithvpn.com/burnt-by-the-sun-1994	success
tt0023563	movie	The Testament of Dr. Mabuse	1933.0	\N	0.0	122	Crime,Mystery,Thriller	7.9	14279.0	After a detective is assaulted by thugs and placed in an asylum run by Professor Baum, he observes the professor's preoccupation with another patient, the criminal genius Dr. Mabuse the hypnotist. When Mabuse's notes are found to be connected with a rash of recent crimes, Commissioner Lohmann must determine how Mabuse is communicating with the criminals, despite conflicting reports on the doctor's whereabouts, and capture him for good.			https://www.streamwithvpn.com/the-testament-of-dr-mabuse-1933	success
tt1001526	movie	Megamind	2010.0	\N	0.0	95	Action,Adventure,Animation	7.3	316969.0	"After Megamind, a highly intelligent alien supervillain, defeats his long-time nemesis Metro Man, Megamind creates a new hero to fight, but must act to save the city when his ""creation"" becomes an even worse villain than he was."			https://www.streamwithvpn.com/megamind-2010	success
tt0437086	movie	Alita: Battle Angel	2019.0	\N	0.0	122	Action,Adventure,Sci-Fi	7.3	316763.0	When Alita awakens with no memory of who she is in a future world she does not recognize, she is taken in by Ido, a compassionate doctor who realizes that somewhere in this abandoned cyborg shell is the heart and soul of a young woman with an extraordinary past.			https://www.streamwithvpn.com/alita-battle-angel-2019	success
